#Types Before Cut: 11091
#Types After Cut: 9607
#Search Hits: 0
424	7	19.097	пошёл
425	7	19.097	ребят
426	7	19.097	секунд
427	7	19.097	скажи
428	7	19.097	супер
429	7	19.097	троих
430	7	19.097	троллейбус
431	7	19.097	человечек
432	7	19.097	читаю
433	7	19.097	чё
434	22	18.915	часов
435	9	18.642	двести
436	9	18.642	жил
437	9	18.642	институте
438	9	18.642	маленькая
439	9	18.642	нечего
440	9	18.642	смеется
441	9	18.642	твоя
442	29	18.385	соответственно
443	153	18.347	еще
444	23	18.236	дома
445	17	18.151	разные
446	10	17.649	бывают
447	10	17.649	ехать
448	10	17.649	интересные
449	10	17.649	написано
450	19	17.539	говоря
451	19	17.539	хотел
452	14	17.302	домой
453	21	17.245	виктор
454	11	17.233	знаете
455	11	17.233	посмотреть
456	11	17.233	пошел
457	13	17.148	бывает
458	13	17.148	говорила
459	13	17.148	мать
460	13	17.148	специально
461	13	17.148	языка
462	355	16.938	но
463	17	16.689	заниматься
464	6	16.369	distinct
465	6	16.369	onion
466	6	16.369	part
467	6	16.369	автобус
468	6	16.369	автобусе
469	6	16.369	ам
470	6	16.369	антифриз
471	6	16.369	бабуля
472	6	16.369	бабушки
473	6	16.369	бешбармак
474	6	16.369	бутово
475	6	16.369	вау
476	6	16.369	восемнадцать
477	6	16.369	выпускной
478	6	16.369	гончар
479	6	16.369	готовился
480	6	16.369	жигули
481	6	16.369	загрузили
482	6	16.369	запомнила
483	6	16.369	играли
484	6	16.369	идёт
485	6	16.369	колесо
486	6	16.369	коллектив
487	6	16.369	кормила
488	6	16.369	культура
489	6	16.369	лагере
490	6	16.369	лингвистике
491	6	16.369	литературу
492	6	16.369	лук
493	6	16.369	любил
494	6	16.369	любимый
495	6	16.369	математике
496	6	16.369	мгм
497	6	16.369	мем
498	6	16.369	молодец
499	6	16.369	мужик
500	6	16.369	немец
501	6	16.369	ногой
502	6	16.369	обед
503	6	16.369	орешки
504	6	16.369	погрей
505	6	16.369	подумала
506	6	16.369	польский
507	6	16.369	понравился
508	6	16.369	преподаватели
509	6	16.369	причём
510	6	16.369	пятёрка
511	6	16.369	саш
512	6	16.369	семьдесят
513	6	16.369	слышно
514	6	16.369	снимали
515	6	16.369	снимать
516	6	16.369	спал
517	6	16.369	спрашивают
518	6	16.369	спросить
519	6	16.369	студенты
520	6	16.369	сынок
521	6	16.369	убирай
522	6	16.369	учителей
523	6	16.369	худи
524	6	16.369	чувак
525	6	16.369	шёл
526	6	16.369	щас
527	6	16.369	этаж
528	6	16.369	эх
529	16	16.293	естественно
530	8	16.137	интересный
531	8	16.137	моих
532	8	16.137	неудобно
533	8	16.137	паре
534	8	16.137	учился
535	23	16.122	равно
536	18	15.811	е
537	24	15.691	понятно
538	27	15.556	ей
539	13	15.310	завтра
540	13	15.310	минус
541	13	15.310	спать
542	13	15.310	улице
543	9	15.303	брали
544	9	15.303	едем
545	9	15.303	мое
546	9	15.303	можете
547	9	15.303	переехали
548	9	15.303	тяжело
549	9	15.303	учителя
550	9	15.303	часа
551	38	15.143	достаточно
552	12	15.093	делали
553	12	15.093	друзья
554	12	15.093	семье
555	26	15.011	плюс
556	11	14.974	будто
557	11	14.974	отец
558	11	14.974	скажем
559	16	14.908	наша
560	22	14.619	дальше
561	18	14.617	дом
562	18	14.617	каким
563	13	13.701	спокойно
564	13	13.701	юлия
565	7	13.659	бабушкой
566	7	13.659	готовили
567	7	13.659	детьми
568	7	13.659	лагеря
569	7	13.659	ноль
570	7	13.659	парень
571	7	13.659	понравились
572	7	13.659	пытаюсь
573	78	13.650	больше
574	16	13.646	совершенно
575	5	13.641	num
576	5	13.641	арахис
577	5	13.641	бабушку
578	5	13.641	баллов
579	5	13.641	венера
580	5	13.641	вернее
581	5	13.641	вкусный
582	5	13.641	вложил
583	5	13.641	вырезать
584	5	13.641	выставках
585	5	13.641	гешу
586	5	13.641	горбачёв
587	5	13.641	гости
588	5	13.641	грязь
589	5	13.641	гэкаю
590	5	13.641	делаем
591	5	13.641	доехали
592	5	13.641	ездила
593	5	13.641	ест
594	5	13.641	жестко
595	5	13.641	жесть
596	5	13.641	живу
597	5	13.641	зашли
598	5	13.641	идешь
599	5	13.641	ии
600	5	13.641	ильямихайлович
601	5	13.641	имею
602	5	13.641	инопланетян
603	5	13.641	итак
604	5	13.641	камеру
605	5	13.641	каракатицах
606	5	13.641	картинки
607	5	13.641	кили
608	5	13.641	килограмм
609	5	13.641	классов
610	5	13.641	коридоре
611	5	13.641	красивые
612	5	13.641	крестик
613	5	13.641	крысу
614	5	13.641	лекцию
615	5	13.641	лилии
616	5	13.641	лингвисты
617	5	13.641	лол
618	5	13.641	лука
619	5	13.641	маккартни
620	5	13.641	мальчик
621	5	13.641	маму
622	5	13.641	марс
623	5	13.641	математический
624	5	13.641	меровинги
625	5	13.641	мечты
626	5	13.641	миндаль
627	5	13.641	мол
628	5	13.641	нагло
629	5	13.641	най
630	5	13.641	ненавидят
631	5	13.641	нём
632	5	13.641	ого
633	5	13.641	одновременнно
634	5	13.641	ок
635	5	13.641	очки
636	5	13.641	пальто
637	5	13.641	парадигма
638	5	13.641	переехать
639	5	13.641	платье
640	5	13.641	подписывайтесь
641	5	13.641	подумал
642	5	13.641	получалось
643	5	13.641	посмотрела
644	5	13.641	построили
645	5	13.641	прекрасный
646	5	13.641	проронил
647	5	13.641	прочим
648	5	13.641	прошёл
649	5	13.641	пью
650	5	13.641	расписание
651	5	13.641	ребёнок
652	5	13.641	рентген
653	5	13.641	родителям
654	5	13.641	салют
655	5	13.641	своём
656	5	13.641	сестра
657	5	13.641	сидит
658	5	13.641	скайп
659	5	13.641	снимаешь
660	5	13.641	сходить
661	5	13.641	счёт
662	5	13.641	съела
663	5	13.641	твёрдый
664	5	13.641	театр
665	5	13.641	тину
666	5	13.641	толстовка
667	5	13.641	удобно
668	5	13.641	умел
669	5	13.641	уметь
670	5	13.641	умеют
671	5	13.641	учёба
672	5	13.641	фамилия
673	5	13.641	физике
674	5	13.641	физику
675	5	13.641	фильмов
676	5	13.641	фильмы
677	5	13.641	хихи
678	5	13.641	хорватии
679	5	13.641	хорошее
680	5	13.641	целую
681	5	13.641	читает
682	5	13.641	читал
